code,name,关注度,股息率,财报,新闻,total_score
600066,宇通客车,1.9,8.84,20.0,0.0,30.740000000000002
000408,藏格矿业,4.6,2.41,19.5,4.0,30.509999999999998
600019,宝钢股份,3.7,5.59,17.5,2.0,28.79
000100,TCL科技,3.5,2.11,18.5,3.5,27.61
600057,厦门象屿,1.9,7.02,18.5,0.0,27.42
000338,潍柴动力,5.5,4.84,13.0,4.0,27.34
600039,四川路桥,1.8,7.06,17.5,0.0,26.36
000426,兴业银锡,6.0,0.27,16.0,4.0,26.27
000543,皖能电力,1.9,6.79,17.5,0.0,26.189999999999998
000422,湖北宜化,3.8,2.58,15.0,4.0,25.38
600030,中信证券,1.2,4.09,20.0,0.0,25.29
600010,包钢股份,2.5,0.15,18.5,4.0,25.15
000166,申万宏源,1.8,3.23,20.0,0.0,25.03
000155,川能动力,1.6,2.67,18.5,2.0,24.77
600011,华能国际,3.4,6.5,14.79,0.0,24.689999999999998
000506,招金黄金,4.3,0.0,20.0,0.0,24.3
000066,中国长城,3.1,0.0,17.5,3.5,24.1
000519,中兵红箭,1.0,0.0,19.0,4.0,24.0
000421,南京公用,2.0,1.74,20.0,0.0,23.740000000000002
600036,招商银行,6.2,9.86,7.0,0.0,23.06
000531,穗恒运Ａ,2.0,4.3,16.37,0.0,22.67
000151,中成股份,2.1,0.0,18.5,2.0,22.6
600009,上海机场,1.7,3.34,17.5,0.0,22.54
000059,华锦股份,1.9,0.62,20.0,0.0,22.52
000534,万泽股份,2.5,0.3,14.0,5.5,22.3
000060,中金岭南,4.6,2.07,11.5,4.0,22.17
600000,浦发银行,4.8,6.36,11.0,0.0,22.16
000157,中联重科,3.4,8.14,10.5,0.0,22.04
000011,深物业A,1.9,0.0,20.0,0.0,21.9
000017,深中华A,1.9,0.0,20.0,0.0,21.9
000058,深 赛 格,2.1,0.29,17.5,2.0,21.89
600061,国投资本,1.9,3.35,14.5,2.0,21.75
600032,浙江新能,1.9,1.34,16.5,2.0,21.740000000000002
600020,中原高速,2.0,6.94,12.59,0.0,21.53
000088,盐 田 港,2.0,7.81,11.0,0.0,20.81
000062,深圳华强,1.7,4.51,14.5,0.0,20.71
000012,南  玻Ａ,1.0,3.08,12.5,4.0,20.58
600022,山东钢铁,1.6,0.0,14.93,4.0,20.53
000518,*ST四环,2.0,0.0,18.5,0.0,20.5
000050,深天马Ａ,2.0,0.0,18.5,0.0,20.5
000099,中信海直,1.0,1.87,17.5,0.0,20.37
000036,华联控股,1.0,0.0,15.15,4.0,20.15
000029,深深房Ａ,1.0,0.0,19.0,0.0,20.0
000532,华金资本,1.7,0.73,17.5,0.0,19.93
600027,华电国际,2.3,7.16,10.41,0.0,19.87
000419,通程控股,1.8,4.4,13.43,0.0,19.63
000507,珠海港,1.9,2.37,11.23,4.0,19.5
000020,深华发Ａ,1.7,0.0,17.5,0.0,19.2
600519,贵州茅台,7.0,6.07,2.0,4.0,19.07
600063,皖维高新,1.0,4.06,13.64,0.0,18.7
600004,白云机场,2.1,3.07,13.5,0.0,18.67
600060,海信视像,2.0,6.41,10.0,0.0,18.41
000430,ST张家界,1.9,0.0,16.5,0.0,18.4
600028,中国石化,6.0,6.13,4.36,1.5,17.99
000301,东方盛虹,2.9,0.0,14.81,0.0,17.71
000035,中国天楹,1.0,1.28,13.43,2.0,17.71
600660,福耀玻璃,1.5,7.18,9.0,0.0,17.68
000008,神州高铁,1.7,0.0,15.5,0.0,17.2
600006,东风股份,1.9,0.15,14.58,0.0,16.63
600015,华夏银行,1.9,8.68,6.0,0.0,16.58
000504,*ST生物,2.3,0.0,13.82,0.0,16.12
000409,云鼎科技,2.0,0.0,14.0,0.0,16.0
600026,中远海能,2.5,4.28,5.140000000000001,4.0,15.920000000000002
600023,浙能电力,3.8,9.24,0.73,2.0,15.77
600050,中国联通,1.6,6.14,8.0,0.0,15.74
000400,许继电气,5.3,3.12,7.0,0.0,15.42
600012,皖通高速,2.0,7.06,6.15,0.0,15.209999999999999
000030,富奥股份,2.0,5.02,8.0,0.0,15.02
600033,福建高速,1.9,4.92,8.0,0.0,14.82
600051,宁波联合,1.8,2.99,10.0,0.0,14.79
000402,金 融 街,1.6,0.0,11.03,2.0,14.629999999999999
600031,三一重工,1.0,4.9,8.5,0.0,14.4
600052,东望时代,1.7,0.87,9.57,2.0,14.14
000423,东阿阿胶,2.1,7.48,4.4399999999999995,0.0,14.02
600056,中国医药,1.5,1.99,10.0,0.0,13.49
000025,特  力Ａ,1.9,1.1,10.42,0.0,13.42
000049,德赛电池,1.9,2.5,9.0,0.0,13.4
600018,上港集团,2.6,6.52,2.21,2.0,13.329999999999998
000089,深圳机场,2.0,3.32,8.0,0.0,13.32
000037,深南电A,1.8,0.0,11.15,0.0,12.950000000000001
600038,中直股份,3.5,1.07,8.27,0.0,12.84
000333,美的集团,2.6,8.07,2.0,0.0,12.67
000068,华控赛格,2.1,0.0,10.06,0.0,12.16
000001,平安银行,1.7,8.32,0.03999999999999998,2.0,12.059999999999999
000001,平安银行,1.7,8.32,0.03999999999999998,2.0,12.059999999999999
600029,南方航空,2.0,0.0,10.0,0.0,12.0
000006,深振业Ａ,1.7,0.0,10.0,0.0,11.7
000407,胜利股份,1.0,2.32,8.25,0.0,11.57
600062,华润双鹤,2.0,4.76,4.7,0.0,11.46
000523,红棉股份,1.0,0.0,10.0,0.0,11.0
000509,华塑控股,1.8,0.0,8.98,0.0,10.780000000000001
600021,上海电力,3.4,2.78,4.39,0.0,10.57
600016,民生银行,2.7,8.03,-2.2800000000000002,2.0,10.45
000429,粤高速Ａ,1.8,7.15,1.43,0.0,10.38
000517,荣安地产,1.0,0.0,9.0,0.0,10.0
000513,丽珠集团,2.2,5.62,1.51,0.0,9.33
000021,深科技,5.3,1.17,0.33,2.0,8.8
600007,中国国贸,2.0,8.23,-1.72,0.0,8.51
000425,徐工机械,1.0,3.05,2.26,2.0,8.309999999999999
601006,大秦铁路,5.0,7.15,-4.4799999999999995,0.0,7.670000000000001
600064,南京高科,2.2,5.89,-0.45999999999999974,0.0,7.63
000031,大悦城,1.0,0.0,6.5,0.0,7.5
000538,云南白药,2.7,4.13,0.21000000000000002,0.0,7.04
000530,冰山冷热,1.6,1.49,3.8800000000000003,0.0,6.970000000000001
600025,华能水电,1.8,4.19,-1.21,2.0,6.78
000078,海王生物,1.0,0.0,4.59,0.0,5.59
000536,华映科技,1.0,0.0,4.55,0.0,5.55
000016,深康佳Ａ,1.0,0.0,2.44,2.0,5.4399999999999995
600035,楚天高速,2.1,7.13,-3.91,0.0,5.32
600017,日照港,1.9,6.57,-3.32,0.0,5.15
000520,凤凰航运,1.9,0.0,2.93,0.0,4.83
000539,粤电力Ａ,1.9,0.84,-0.1499999999999999,2.0,4.59
000004,*ST国华,1.8,0.0,0.54,2.0,4.34
600058,五矿发展,1.0,0.0,3.3200000000000003,0.0,4.32
600008,首创环保,1.6,9.3,-7.01,0.0,3.8900000000000006
000069,华侨城Ａ,1.8,0.0,-2.21,4.0,3.59
300979,华利集团,1.9,9.22,-8.569999999999999,0.0,2.5500000000000025
000028,国药一致,1.6,2.84,-2.23,0.0,2.2099999999999995
000498,山东路桥,2.2,5.81,-6.300000000000001,0.0,1.709999999999999
000056,皇庭国际,1.0,0.0,-3.4299999999999997,4.0,1.5700000000000003
000411,英特集团,1.6,5.23,-5.34,0.0,1.4900000000000002
000026,飞亚达,1.6,4.79,-5.39,0.0,1.0000000000000009
600048,保利发展,3.8,4.7,-10.0,2.0,0.5
000521,长虹美菱,2.0,8.03,-10.0,0.0,0.02999999999999936
000048,京基智农,1.0,6.75,-10.0,2.0,-0.25
000501,武商集团,1.9,5.53,-10.0,2.0,-0.5700000000000003
000034,神州数码,1.0,1.39,-10.0,7.0,-0.6100000000000003
000404,长虹华意,1.8,6.97,-9.38,0.0,-0.6100000000000012
000410,沈阳机床,1.6,0.0,-2.99,0.0,-1.3900000000000001
600037,歌华有线,1.9,0.67,-10.0,5.5,-1.9299999999999997
000529,广弘控股,2.0,3.97,-10.0,2.0,-2.0299999999999994
000027,深圳能源,1.9,4.36,-9.91,1.5,-2.1500000000000004
600054,黄山旅游,1.0,3.73,-7.48,0.0,-2.75
000403,派林生物,2.0,5.14,-10.0,0.0,-2.8600000000000003
000065,北方国际,2.0,2.31,-7.2299999999999995,0.0,-2.919999999999999
300364,中文在线,4.9,0.0,-10.0,2.0,-3.0999999999999996
000537,绿发电力,1.8,5.07,-10.0,0.0,-3.13
000055,方大集团,2.1,2.59,-10.0,2.0,-3.3100000000000005
000533,顺钠股份,1.2,0.0,-4.609999999999999,0.0,-3.4099999999999993
300298,三诺生物,2.1,2.48,-10.0,2.0,-3.42
000009,中国宝安,1.9,0.64,-10.0,4.0,-3.46
000090,天健集团,1.8,4.71,-10.0,0.0,-3.49
000063,中兴通讯,1.0,3.32,-10.0,2.0,-3.6799999999999997
000528,柳    工,1.7,4.49,-10.0,0.0,-3.8099999999999996
000039,中集集团,1.0,3.16,-10.0,2.0,-3.84
000541,佛山照明,2.1,3.86,-10.0,0.0,-4.04
000019,深粮控股,1.6,4.22,-10.0,0.0,-4.18
600059,古越龙山,3.4,1.6,-9.2,0.0,-4.199999999999999
000415,渤海租赁,1.0,0.0,-9.2,4.0,-4.199999999999999
000401,金隅冀东,1.5,3.98,-10.0,0.0,-4.52
000503,国新健康,1.6,0.0,-8.43,2.0,-4.83
000156,华数传媒,1.0,4.04,-10.0,0.0,-4.96
