date,code,name,score,pct_change,close_price,future_close_price
2025-08-01,600519,贵州茅台,0.0,0.49,1417.0,1423.88
2025-08-04,600519,贵州茅台,31.0,0.14,1419.0,1420.97
2025-08-05,600519,贵州茅台,31.0,-0.47,1427.74,1420.97
2025-08-06,600519,贵州茅台,19.0,1.48,1423.88,1445.0
2025-08-07,600519,贵州茅台,40.0,1.03,1422.35,1437.04
2025-08-08,600519,贵州茅台,40.0,-0.06,1420.97,1420.05
2025-08-11,600519,贵州茅台,42.62,-1.59,1445.0,1422.08
2025-08-12,600519,贵州茅台,40.0,-1.04,1437.04,1422.08
2025-08-13,600519,贵州茅台,19.0,0.6,1420.05,1428.5
2025-08-14,600519,贵州茅台,52.0,0.77,1426.99,1438.0
2025-08-15,600519,贵州茅台,19.0,1.96,1422.08,1450.0
2025-08-18,600519,贵州茅台,31.0,2.48,1428.5,1463.95
2025-08-19,600519,贵州茅台,52.0,1.8,1438.0,1463.95
2025-08-20,600519,贵州茅台,52.0,2.78,1450.0,1490.33
2025-08-21,600519,贵州茅台,40.0,2.3,1448.25,1481.61
2025-08-22,600519,贵州茅台,52.0,-1.09,1463.95,1448.0
2025-08-25,600519,贵州茅台,52.0,-0.69,1490.33,1480.0
2025-08-26,600519,贵州茅台,40.0,-0.11,1481.61,1480.0
2025-08-27,600519,贵州茅台,10.0,1.94,1448.0,1476.1
2025-08-28,600519,贵州茅台,19.0,3.13,1446.1,1491.3
2025-08-29,600519,贵州茅台,40.0,0.04,1480.0,1480.55
2025-09-01,600519,贵州茅台,19.0,0.47,1476.1,1483.0
2025-09-02,600519,贵州茅台,52.0,-0.56,1491.3,1483.0
2025-09-03,600519,贵州茅台,40.0,1.4,1480.55,1501.23
2025-09-04,600519,贵州茅台,19.0,2.2,1472.66,1505.0
2025-09-05,600519,贵州茅台,52.0,2.63,1483.0,1522.01
2025-09-08,600519,贵州茅台,52.0,0.98,1501.23,1516.0
2025-09-09,600519,贵州茅台,52.0,0.73,1505.0,1516.0
2025-09-10,600519,贵州茅台,52.0,-0.45,1522.01,1515.1
2025-09-11,600519,贵州茅台,52.0,-1.54,1523.5,1499.98
2025-09-12,600519,贵州茅台,40.0,-1.52,1516.0,1493.0
2025-09-15,600519,贵州茅台,40.0,-3.11,1515.1,1467.97
2025-09-16,600519,贵州茅台,19.0,-2.13,1499.98,1467.97
2025-09-17,600519,贵州茅台,19.0,-2.66,1493.0,1453.35
2025-09-18,600519,贵州茅台,19.0,-1.4,1467.96,1447.42
2025-09-19,600519,贵州茅台,31.0,-1.77,1467.97,1442.0
2025-09-22,600519,贵州茅台,19.0,-1.26,1453.35,1435.0
2025-09-23,600519,贵州茅台,19.0,-0.86,1447.42,1435.0
2025-09-24,600519,贵州茅台,19.0,1.31,1442.0,1460.86
2025-09-25,600519,贵州茅台,19.0,0.35,1439.0,1443.99
2025-09-26,600519,贵州茅台,19.0,0.63,1435.0,1443.99
2025-09-29,600519,贵州茅台,52.0,-1.15,1460.86,1443.99
2025-09-30,600519,贵州茅台,40.0,,1443.99,
2025-10-09,600519,贵州茅台,19.0,0.99,1436.78,1451.02
2025-10-10,600519,贵州茅台,19.0,2.24,1430.0,1462.0
2025-10-13,600519,贵州茅台,19.0,2.52,1419.2,1455.0
2025-10-14,600519,贵州茅台,61.0,0.27,1451.02,1455.0
2025-10-15,600519,贵州茅台,52.0,-0.48,1462.0,1455.0
2025-10-16,600519,贵州茅台,52.0,-2.01,1484.91,1455.0
2025-10-17,600519,贵州茅台,31.0,,1455.0,
2025-08-01,000001,平安银行,0.0,1.5,12.04,12.22
2025-08-04,000001,平安银行,31.0,0.83,12.06,12.16
2025-08-05,000001,平安银行,21.76,-0.57,12.23,12.16
2025-08-06,000001,平安银行,9.1,-1.31,12.22,12.06
2025-08-07,000001,平安银行,42.21,-1.14,12.23,12.09
2025-08-08,000001,平安银行,40.0,-1.15,12.16,12.02
2025-08-11,000001,平安银行,19.0,-1.82,12.06,11.84
2025-08-12,000001,平安银行,31.0,-2.07,12.09,11.84
2025-08-13,000001,平安银行,19.0,-1.5,12.02,11.84
2025-08-14,000001,平安银行,19.0,-1.17,11.96,11.82
2025-08-15,000001,平安银行,19.0,-0.08,11.84,11.83
2025-08-18,000001,平安银行,31.0,-0.17,11.84,11.82
2025-08-19,000001,平安银行,19.0,0.0,11.82,11.82
2025-08-20,000001,平安银行,31.0,3.21,11.83,12.21
2025-08-21,000001,平安银行,52.0,1.76,11.91,12.12
2025-08-22,000001,平安银行,19.0,0.0,11.82,11.82
2025-08-25,000001,平安银行,61.0,-3.28,12.21,11.81
2025-08-26,000001,平安银行,40.0,-2.56,12.12,11.81
2025-08-27,000001,平安银行,10.0,-1.44,11.82,11.65
2025-08-28,000001,平安银行,52.0,-0.84,11.84,11.74
2025-08-29,000001,平安银行,19.0,-2.54,11.81,11.51
2025-09-01,000001,平安银行,19.0,-1.46,11.65,11.48
2025-09-02,000001,平安银行,31.0,-2.21,11.74,11.48
2025-09-03,000001,平安银行,19.0,-0.43,11.51,11.46
2025-09-04,000001,平安银行,19.0,0.09,11.5,11.51
2025-09-05,000001,平安银行,19.0,0.44,11.48,11.53
2025-09-08,000001,平安银行,19.0,0.17,11.46,11.48
2025-09-09,000001,平安银行,52.0,-0.26,11.51,11.48
2025-09-10,000001,平安银行,52.0,-1.04,11.53,11.41
2025-09-11,000001,平安银行,52.0,-1.81,11.61,11.4
2025-09-12,000001,平安银行,40.0,-0.7,11.48,11.4
2025-09-15,000001,平安银行,19.0,-1.75,11.41,11.21
2025-09-16,000001,平安银行,19.0,-1.67,11.4,11.21
2025-09-17,000001,平安银行,31.0,-2.28,11.4,11.14
2025-09-18,000001,平安银行,10.0,0.98,11.17,11.28
2025-09-19,000001,平安银行,31.0,0.09,11.21,11.22
2025-09-22,000001,平安银行,19.0,0.18,11.14,11.16
2025-09-23,000001,平安银行,31.0,-1.06,11.28,11.16
2025-09-24,000001,平安银行,40.0,-0.8,11.22,11.13
2025-09-25,000001,平安银行,9.0,-0.54,11.16,11.1
2025-09-26,000001,平安银行,52.0,-0.54,11.16,11.1
2025-09-29,000001,平安银行,9.0,-0.27,11.13,11.1
2025-09-30,000001,平安银行,9.0,,11.1,
2025-10-09,000001,平安银行,42.0,1.52,11.16,11.33
2025-10-10,000001,平安银行,42.0,1.88,11.19,11.4
2025-10-13,000001,平安银行,30.0,2.15,11.16,11.4
2025-10-14,000001,平安银行,52.0,0.62,11.33,11.4
2025-10-15,000001,平安银行,52.0,0.0,11.4,11.4
2025-10-16,000001,平安银行,52.0,-1.21,11.54,11.4
2025-10-17,000001,平安银行,40.0,,11.4,
2025-08-01,600660,福耀玻璃,0.0,1.2,54.01,54.66
2025-08-04,600660,福耀玻璃,19.0,1.39,53.85,54.6
2025-08-05,600660,福耀玻璃,21.87,-0.53,54.89,54.6
2025-08-06,600660,福耀玻璃,19.0,-0.18,54.66,54.56
2025-08-07,600660,福耀玻璃,40.0,-0.02,54.62,54.61
2025-08-08,600660,福耀玻璃,40.0,0.71,54.6,54.99
2025-08-11,600660,福耀玻璃,19.0,0.26,54.56,54.7
2025-08-12,600660,福耀玻璃,31.0,0.16,54.61,54.7
2025-08-13,600660,福耀玻璃,52.0,1.44,54.99,55.78
2025-08-14,600660,福耀玻璃,40.0,0.35,54.68,54.87
2025-08-15,600660,福耀玻璃,52.0,10.51,54.7,60.45
2025-08-18,600660,福耀玻璃,52.0,11.63,55.78,62.27
2025-08-19,600660,福耀玻璃,19.0,13.49,54.87,62.27
2025-08-20,600660,福耀玻璃,52.17,2.45,60.45,61.93
2025-08-21,600660,福耀玻璃,63.75,-1.8,63.8,62.65
2025-08-22,600660,福耀玻璃,44.65,1.69,62.27,63.32
2025-08-25,600660,福耀玻璃,47.89,4.57,61.93,64.76
2025-08-26,600660,福耀玻璃,54.38,3.37,62.65,64.76
2025-08-27,600660,福耀玻璃,39.14,2.51,63.32,64.91
2025-08-28,600660,福耀玻璃,57.24,3.13,63.57,65.56
2025-08-29,600660,福耀玻璃,60.02,4.74,64.76,67.83
2025-09-01,600660,福耀玻璃,59.24,4.05,64.91,67.54
2025-09-02,600660,福耀玻璃,63.29,3.02,65.56,67.54
2025-09-03,600660,福耀玻璃,91.2,0.78,67.83,68.36
2025-09-04,600660,福耀玻璃,51.72,4.38,66.44,69.35
2025-09-05,600660,福耀玻璃,72.11,1.88,67.54,68.81
2025-09-08,600660,福耀玻璃,74.79,2.62,68.36,70.15
2025-09-09,600660,福耀玻璃,80.0,1.15,69.35,70.15
2025-09-10,600660,福耀玻璃,65.55,2.38,68.81,70.45
2025-09-11,600660,福耀玻璃,98.93,0.51,71.09,71.45
2025-09-12,600660,福耀玻璃,66.73,4.49,70.15,73.3
2025-09-15,600660,福耀玻璃,79.29,1.42,70.45,71.45
2025-09-16,600660,福耀玻璃,82.0,0.0,71.45,71.45
2025-09-17,600660,福耀玻璃,91.0,-3.02,73.3,71.09
2025-09-18,600660,福耀玻璃,70.0,-1.34,72.16,71.19
2025-09-19,600660,福耀玻璃,70.0,1.25,71.45,72.34
2025-09-22,600660,福耀玻璃,49.0,0.18,71.09,71.22
2025-09-23,600660,福耀玻璃,61.0,0.04,71.19,71.22
2025-09-24,600660,福耀玻璃,82.0,-0.61,72.34,71.9
2025-09-25,600660,福耀玻璃,68.61,1.26,71.61,72.51
2025-09-26,600660,福耀玻璃,69.31,1.81,71.22,72.51
2025-09-29,600660,福耀玻璃,80.37,0.85,71.9,72.51
2025-09-30,600660,福耀玻璃,81.61,,72.51,
2025-10-09,600660,福耀玻璃,30.56,-6.11,70.98,66.64
2025-10-10,600660,福耀玻璃,29.16,-4.04,69.37,66.57
2025-10-13,600660,福耀玻璃,51.96,-8.73,69.55,63.48
2025-10-14,600660,福耀玻璃,31.89,-4.74,66.64,63.48
2025-10-15,600660,福耀玻璃,37.32,-4.64,66.57,63.48
2025-10-16,600660,福耀玻璃,40.87,-5.08,66.88,63.48
2025-10-17,600660,福耀玻璃,21.41,,63.48,
2025-08-01,300979,华利集团,0.0,0.59,50.98,51.28
2025-08-04,300979,华利集团,22.07,-0.49,51.45,51.2
2025-08-05,300979,华利集团,21.24,-0.87,51.65,51.2
2025-08-06,300979,华利集团,19.0,-1.27,51.28,50.63
2025-08-07,300979,华利集团,19.0,-0.26,50.77,50.64
2025-08-08,300979,华利集团,31.0,-1.05,51.2,50.66
2025-08-11,300979,华利集团,19.0,-0.53,50.63,50.36
2025-08-12,300979,华利集团,31.0,-0.55,50.64,50.36
2025-08-13,300979,华利集团,31.0,-0.22,50.66,50.55
2025-08-14,300979,华利集团,19.0,1.25,50.28,50.91
2025-08-15,300979,华利集团,31.0,2.52,50.36,51.63
2025-08-18,300979,华利集团,31.0,5.36,50.55,53.26
2025-08-19,300979,华利集团,52.0,4.62,50.91,53.26
2025-08-20,300979,华利集团,52.0,1.88,51.63,52.6
2025-08-21,300979,华利集团,70.0,-0.08,52.99,52.95
2025-08-22,300979,华利集团,61.0,-3.12,53.26,51.6
2025-08-25,300979,华利集团,40.0,-1.16,52.6,51.99
2025-08-26,300979,华利集团,52.0,-1.81,52.95,51.99
2025-08-27,300979,华利集团,10.0,-0.02,51.6,51.59
2025-08-28,300979,华利集团,31.0,-2.3,51.76,50.57
2025-08-29,300979,华利集团,31.0,-1.88,51.99,51.01
2025-09-01,300979,华利集团,19.0,2.6,51.59,52.93
2025-09-02,300979,华利集团,19.0,4.67,50.57,52.93
2025-09-03,300979,华利集团,31.0,8.9,51.01,55.55
2025-09-04,300979,华利集团,31.0,5.73,51.51,54.46
2025-09-05,300979,华利集团,61.0,1.79,52.93,53.88
2025-09-08,300979,华利集团,70.0,-4.64,55.55,52.97
2025-09-09,300979,华利集团,49.0,-2.74,54.46,52.97
2025-09-10,300979,华利集团,40.0,-2.1,53.88,52.75
2025-09-11,300979,华利集团,40.0,-1.57,53.54,52.7
2025-09-12,300979,华利集团,19.0,3.19,52.97,54.66
2025-09-15,300979,华利集团,19.0,5.97,52.75,55.9
2025-09-16,300979,华利集团,19.0,6.07,52.7,55.9
2025-09-17,300979,华利集团,61.0,0.48,54.66,54.92
2025-09-18,300979,华利集团,31.0,4.01,53.4,55.54
2025-09-19,300979,华利集团,70.0,-2.36,55.9,54.58
2025-09-22,300979,华利集团,40.0,-2.28,54.92,53.67
2025-09-23,300979,华利集团,52.0,-3.37,55.54,53.67
2025-09-24,300979,华利集团,40.0,-1.63,54.58,53.69
2025-09-25,300979,华利集团,19.0,-2.73,54.51,53.02
2025-09-26,300979,华利集团,19.0,-1.21,53.67,53.02
2025-09-29,300979,华利集团,31.0,-1.25,53.69,53.02
2025-09-30,300979,华利集团,19.0,,53.02,
2025-10-09,300979,华利集团,31.0,-0.32,53.07,52.9
2025-10-10,300979,华利集团,31.0,-2.65,53.54,52.12
2025-10-13,300979,华利集团,10.0,-4.43,52.4,50.08
2025-10-14,300979,华利集团,31.0,-5.33,52.9,50.08
2025-10-15,300979,华利集团,19.0,-3.91,52.12,50.08
2025-10-16,300979,华利集团,10.0,-1.77,50.98,50.08
2025-10-17,300979,华利集团,19.0,,50.08,
2025-08-01,000159,国际实业,0.0,0.71,5.67,5.71
2025-08-04,000159,国际实业,19.0,5.48,5.66,5.97
2025-08-05,000159,国际实业,31.0,4.19,5.73,5.97
2025-08-06,000159,国际实业,19.0,4.38,5.71,5.96
2025-08-07,000159,国际实业,52.0,4.36,5.74,5.99
2025-08-08,000159,国际实业,68.11,-1.34,5.97,5.89
2025-08-11,000159,国际实业,36.9,-2.85,5.96,5.79
2025-08-12,000159,国际实业,48.9,-3.34,5.99,5.79
2025-08-13,000159,国际实业,31.76,-0.85,5.89,5.84
2025-08-14,000159,国际实业,10.0,2.44,5.74,5.88
2025-08-15,000159,国际实业,31.0,2.76,5.79,5.95
2025-08-18,000159,国际实业,31.0,2.74,5.84,6.0
2025-08-19,000159,国际实业,31.0,2.04,5.88,6.0
2025-08-20,000159,国际实业,52.0,1.01,5.95,6.01
2025-08-21,000159,国际实业,42.14,0.33,6.0,6.02
2025-08-22,000159,国际实业,52.0,-3.0,6.0,5.82
2025-08-25,000159,国际实业,52.0,-4.16,6.01,5.76
2025-08-26,000159,国际实业,52.0,-4.32,6.02,5.76
2025-08-27,000159,国际实业,10.0,0.34,5.82,5.84
2025-08-28,000159,国际实业,31.0,-1.37,5.83,5.75
2025-08-29,000159,国际实业,19.0,-3.99,5.76,5.53
2025-09-01,000159,国际实业,31.0,-2.23,5.84,5.71
2025-09-02,000159,国际实业,19.0,-0.7,5.75,5.71
2025-09-03,000159,国际实业,19.0,4.88,5.53,5.8
2025-09-04,000159,国际实业,31.0,3.04,5.59,5.76
2025-09-05,000159,国际实业,40.0,2.45,5.71,5.85
2025-09-08,000159,国际实业,52.0,0.86,5.8,5.85
2025-09-09,000159,国际实业,40.0,1.56,5.76,5.85
2025-09-10,000159,国际实业,52.0,0.34,5.85,5.87
2025-09-11,000159,国际实业,40.0,2.06,5.83,5.95
2025-09-12,000159,国际实业,52.0,0.68,5.85,5.89
2025-09-15,000159,国际实业,52.0,-3.07,5.87,5.69
2025-09-16,000159,国际实业,52.0,-4.37,5.95,5.69
2025-09-17,000159,国际实业,40.0,-4.92,5.89,5.6
2025-09-18,000159,国际实业,10.0,-3.86,5.7,5.48
2025-09-19,000159,国际实业,19.0,-1.23,5.69,5.62
2025-09-22,000159,国际实业,28.0,-0.18,5.6,5.59
2025-09-23,000159,国际实业,19.0,2.01,5.48,5.59
2025-09-24,000159,国际实业,40.0,1.25,5.62,5.69
2025-09-25,000159,国际实业,19.0,2.34,5.55,5.68
2025-09-26,000159,国际实业,31.0,1.61,5.59,5.68
2025-09-29,000159,国际实业,52.0,-0.18,5.69,5.68
2025-09-30,000159,国际实业,40.0,,5.68,
2025-10-09,000159,国际实业,70.0,0.86,5.84,5.89
2025-10-10,000159,国际实业,61.0,0.17,5.89,5.9
2025-10-13,000159,国际实业,40.0,-0.68,5.85,5.81
2025-10-14,000159,国际实业,52.0,-1.36,5.89,5.81
2025-10-15,000159,国际实业,52.0,-1.53,5.9,5.81
2025-10-16,000159,国际实业,19.0,-0.51,5.84,5.81
2025-10-17,000159,国际实业,19.0,,5.81,
