code,name,关注度,股息率,今年相对大盘强弱,财报,5日涨跌幅,新闻,total_score
000066,中国长城,1.6,0.0,8,16.13,10,8.5,44.23
000534,万泽股份,3.5,0.23,10,11.5,10,8.5,43.73
600066,宇通客车,1.9,8.04,2,19.23,6,0.0,37.17
000157,中联重科,4.7,6.98,8,6.29,6,5.0,36.97
000504,*ST生物,1.9,0.0,8,12.65,10,4.0,36.55
000151,中成股份,2.0,0.0,6,17.51,6,5.0,36.51
000506,招金黄金,2.5,0.0,10,20.0,4,0.0,36.5
000062,深圳华强,2.0,4.62,6,11.78,10,2.0,36.4
000338,潍柴动力,6.5,3.93,10,9.9,6,0.0,36.33
000422,湖北宜化,4.6,2.27,10,13.44,6,0.0,36.31
000426,兴业银锡,5.0,0.27,10,16.2,4,0.0,35.47
000531,穗恒运Ａ,1.7,3.93,6,15.73,8,0.0,35.36
000100,TCL科技,3.5,1.98,6,17.77,6,0.0,35.25
000155,川能动力,1.0,2.39,8,17.85,6,0.0,35.24
000543,皖能电力,1.0,6.15,6,16.06,6,0.0,35.21
600032,浙江新能,1.6,1.23,8,15.6,8,0.0,34.43
600019,宝钢股份,4.2,5.38,3,16.18,4,1.5,34.26
000035,中国天楹,1.0,0.95,10,11.85,8,2.0,33.8
000518,*ST四环,2.0,0.0,8,17.7,6,0.0,33.7
600057,厦门象屿,2.0,6.69,3,17.99,4,0.0,33.68
600010,包钢股份,4.0,0.13,8,17.43,4,0.0,33.56
600063,皖维高新,1.0,3.98,8,12.27,8,0.0,33.25
000166,申万宏源,2.1,2.99,2,20.0,6,0.0,33.09
000408,藏格矿业,3.6,2.49,2,18.87,6,0.0,32.96
600039,四川路桥,1.7,6.72,4,16.4,4,0.0,32.82
000421,南京公用,1.0,1.71,4,20.0,4,2.0,32.71
600022,山东钢铁,1.8,0.0,6,13.85,4,7.0,32.65
000020,深华发Ａ,2.0,0.0,6,16.45,8,0.0,32.45
600011,华能国际,3.5,4.73,4,13.58,6,0.0,31.81
000519,中兵红箭,2.2,0.0,6,19.48,2,2.0,31.68
600030,中信证券,1.0,4.21,2,20.0,4,0.0,31.21
600051,宁波联合,2.1,2.97,6,10.0,8,2.0,31.07
000011,深物业A,2.1,0.0,3,19.6,6,0.0,30.7
000301,东方盛虹,2.8,0.0,6,13.62,2,6.0,30.42
000036,华联控股,1.0,0.0,2,14.31,6,7.0,30.31
000059,华锦股份,1.6,0.59,6,20.0,2,0.0,30.19
000012,南  玻Ａ,1.0,2.86,6,9.26,6,5.0,30.12
000017,深中华A,2.0,0.0,2,20.0,6,0.0,30.0
600020,中原高速,2.2,6.89,3,11.56,6,0.0,29.65
600026,中远海能,5.0,1.49,10,1.73,4,7.0,29.22
000050,深天马Ａ,1.9,0.0,4,17.32,6,0.0,29.22
000099,中信海直,2.3,1.75,3,16.11,6,0.0,29.16
000058,深 赛 格,2.2,0.31,2,16.55,6,2.0,29.06
000029,深深房Ａ,1.0,0.0,3,19.0,6,0.0,29.0
000409,云鼎科技,1.0,0.0,4,12.45,6,5.0,28.45
000509,华塑控股,1.0,0.0,8,9.07,10,0.0,28.07
600061,国投资本,2.0,3.43,3,13.62,6,0.0,28.05
600009,上海机场,1.9,3.34,2,16.75,4,0.0,27.99
600027,华电国际,1.9,6.73,6,6.63,6,0.0,27.26
000400,许继电气,6.2,2.51,10,2.43,6,0.0,27.14
000532,华金资本,1.8,0.81,2,16.16,6,0.0,26.77
600036,招商银行,6.3,9.79,3,1.57,6,0.0,26.66
000419,通程控股,1.5,4.52,3,11.59,6,0.0,26.61
000430,ST张家界,2.1,0.0,3,15.48,6,0.0,26.58
000037,深南电A,1.9,0.0,8,10.0,6,0.0,25.9
000008,神州高铁,1.8,0.0,4,14.03,6,0.0,25.83
600004,白云机场,2.1,3.15,3,11.53,6,0.0,25.78
600000,浦发银行,5.2,6.51,2,5.98,6,0.0,25.69
000507,珠海港,1.0,2.29,6,10.0,6,0.0,25.29
600031,三一重工,2.5,5.02,6,5.46,6,0.0,24.98
000088,盐 田 港,1.8,7.63,4,5.39,6,0.0,24.82
600006,东风股份,2.0,0.15,3,13.16,6,0.0,24.31
600015,华夏银行,2.8,8.64,4,2.24,6,0.0,23.68
000060,中金岭南,4.0,1.89,8,7.74,2,0.0,23.63
600660,福耀玻璃,2.6,7.18,2,4.74,6,0.0,22.52
600038,中直股份,3.9,1.1,4,9.44,4,0.0,22.44
000025,特  力Ａ,1.9,1.1,3,8.35,6,2.0,22.35
600060,海信视像,2.1,6.65,2,5.09,6,0.0,21.84
