code,name,关注度,股息率,今年相对大盘强弱,财报,5日涨跌幅,新闻,total_score
000422,湖北宜化,4.4,2.27,10,13.44,6,7.0,43.11
000534,万泽股份,2.7,0.23,10,11.5,10,2.0,36.43
000155,川能动力,1.0,2.39,8,17.85,6,0.0,35.24
600066,宇通客车,1.9,8.04,2,19.23,4,0.0,35.17
000506,招金黄金,3.0,0.0,10,20.0,2,0.0,35.0
600019,宝钢股份,4.2,5.38,3,16.18,4,1.5,34.26
000426,兴业银锡,5.4,0.27,10,16.2,2,0.0,33.87
000338,潍柴动力,5.8,3.93,10,9.9,4,0.0,33.63
600010,包钢股份,3.8,0.13,10,17.43,2,0.0,33.36
000531,穗恒运Ａ,1.7,3.93,6,15.73,6,0.0,33.36
000543,皖能电力,1.0,6.15,6,16.06,4,0.0,33.21
000100,TCL科技,3.3,1.98,6,17.77,4,0.0,33.05
600039,四川路桥,1.7,6.72,4,16.4,4,0.0,32.82
000421,南京公用,1.0,1.71,4,20.0,6,0.0,32.71
600032,浙江新能,1.7,1.23,8,15.6,6,0.0,32.53
000518,*ST四环,2.0,0.0,8,17.7,4,0.0,31.7
600057,厦门象屿,2.0,6.69,3,17.99,2,0.0,31.68
000151,中成股份,2.0,0.0,6,17.51,4,2.0,31.51
000066,中国长城,1.3,0.0,8,16.13,6,0.0,31.43
600011,华能国际,3.0,4.73,4,13.58,6,0.0,31.31
600030,中信证券,1.0,4.21,2,20.0,4,0.0,31.21
000166,申万宏源,2.1,2.99,2,20.0,4,0.0,31.09
000059,华锦股份,1.6,0.59,6,20.0,2,0.0,30.19
000035,中国天楹,1.0,0.95,10,11.85,6,0.0,29.8
000519,中兵红箭,1.9,0.0,6,19.48,2,0.0,29.38
000099,中信海直,1.5,1.75,4,16.11,6,0.0,29.36
000408,藏格矿业,3.9,2.49,2,18.87,2,0.0,29.26
600063,皖维高新,1.0,3.98,8,12.27,4,0.0,29.25
600000,浦发银行,5.1,6.51,2,5.98,6,3.5,29.09
000017,深中华A,2.0,0.0,3,20.0,4,0.0,29.0
000504,*ST生物,2.3,0.0,6,12.65,8,0.0,28.95
000400,许继电气,5.9,2.51,10,2.43,8,0.0,28.84
000011,深物业A,2.1,0.0,3,19.6,4,0.0,28.7
000509,华塑控股,1.0,0.0,6,9.07,10,2.0,28.07
600009,上海机场,1.9,3.34,2,16.75,4,0.0,27.99
600020,中原高速,2.2,6.89,3,11.56,4,0.0,27.65
600051,宁波联合,2.1,2.97,6,10.0,6,0.0,27.07
000419,通程控股,1.6,4.52,3,11.59,6,0.0,26.71
600036,招商银行,6.3,9.79,3,1.57,6,0.0,26.66
000020,深华发Ａ,1.9,0.0,4,16.45,4,0.0,26.35
000060,中金岭南,4.3,1.89,10,7.74,2,0.0,25.93
000037,深南电A,1.8,0.0,8,10.0,6,0.0,25.8
000157,中联重科,4.4,6.98,6,6.29,2,0.0,25.67
600022,山东钢铁,1.8,0.0,6,13.85,4,0.0,25.65
000062,深圳华强,1.9,4.62,3,11.78,4,0.0,25.3
000050,深天马Ａ,1.8,0.0,4,17.32,2,0.0,25.12
600061,国投资本,2.0,3.43,2,13.62,4,0.0,25.05
000029,深深房Ａ,1.0,0.0,3,19.0,2,0.0,25.0
000058,深 赛 格,2.1,0.31,2,16.55,4,0.0,24.96
000409,云鼎科技,1.0,0.0,4,12.45,6,1.5,24.95
600027,华电国际,1.4,6.73,6,6.63,4,0.0,24.76
000532,华金资本,1.7,0.81,2,16.16,4,0.0,24.67
000301,东方盛虹,3.0,0.0,6,13.62,2,0.0,24.62
000430,ST张家界,2.1,0.0,3,15.48,4,0.0,24.58
600004,白云机场,2.2,3.15,3,11.53,4,0.0,23.88
000008,神州高铁,1.8,0.0,4,14.03,4,0.0,23.83
600028,中国石化,6.1,5.68,8,-0.01,4,0.0,23.77
600026,中远海能,4.5,1.49,10,1.73,6,0.0,23.72
600015,华夏银行,2.5,8.64,4,2.24,6,0.0,23.38
000507,珠海港,1.0,2.37,6,10.0,4,0.0,23.37
000012,南  玻Ａ,1.0,2.86,6,9.26,4,0.0,23.12
000088,盐 田 港,1.8,7.63,4,5.39,4,0.0,22.82
000036,华联控股,1.6,0.0,2,14.31,4,0.0,21.91
600006,东风股份,2.0,0.15,2,13.16,4,0.0,21.31
000068,华控赛格,2.1,0.0,4,9.08,6,0.0,21.18
600012,皖通高速,2.1,7.06,4,1.95,6,0.0,21.11
600023,浙能电力,2.5,8.8,6,-2.55,6,0.0,20.75
600660,福耀玻璃,2.3,7.18,2,4.74,4,0.0,20.22
600038,中直股份,3.6,1.1,4,9.44,2,0.0,20.14
600060,海信视像,2.1,6.65,2,5.09,4,0.0,19.84
600050,中国联通,1.8,6.01,3,3.02,6,0.0,19.83
000030,富奥股份,2.1,5.07,3,5.59,4,0.0,19.76
000031,大悦城,1.0,0.0,8,6.29,4,0.0,19.29
000402,金 融 街,2.0,0.0,3,10.09,4,0.0,19.09
000429,粤高速Ａ,2.1,7.13,6,-2.14,6,0.0,19.09
000423,东阿阿胶,2.4,7.48,6,-1.09,4,0.0,18.79
000048,京基智农,1.0,6.52,8,-10.0,6,7.0,18.52
000025,特  力Ａ,1.9,1.1,3,8.35,4,0.0,18.35
600031,三一重工,1.6,5.02,4,5.46,2,0.0,18.08
000006,深振业Ａ,1.8,0.0,2,10.0,4,0.0,17.8
600056,中国医药,1.7,1.97,4,6.02,4,0.0,17.69
000517,荣安地产,1.0,0.0,6,6.64,4,0.0,17.64
000333,美的集团,3.2,7.73,3,-0.72,4,0.0,17.21
600025,华能水电,2.5,3.75,8,-5.23,8,0.0,17.02
000089,深圳机场,2.2,3.32,4,3.48,4,0.0,17.0
601006,大秦铁路,4.8,7.02,4,-10.0,6,5.0,16.82
600021,上海电力,3.3,2.55,6,-1.14,6,0.0,16.71
600033,福建高速,2.0,4.93,2,3.69,4,0.0,16.62
000407,胜利股份,1.0,2.11,6,3.36,4,0.0,16.47
000049,德赛电池,1.9,2.63,3,4.88,4,0.0,16.41
600519,贵州茅台,7.0,6.07,3,-3.72,4,0.0,16.35
600052,东望时代,1.8,0.95,2,7.14,4,0.0,15.89
000533,顺钠股份,4.1,0.0,10,-8.23,10,0.0,15.87
600062,华润双鹤,2.0,4.81,3,1.58,4,0.0,15.39
000063,中兴通讯,1.0,3.26,3,1.54,2,4.0,14.8
600018,上港集团,3.4,6.52,3,-2.27,4,0.0,14.65
000001,平安银行,2.5,8.35,3,-3.91,4,0.0,13.94
000001,平安银行,2.5,8.35,3,-3.91,4,0.0,13.94
000021,深科技,4.9,1.2,8,-4.25,2,2.0,13.85
600029,南方航空,2.9,0.0,2,6.29,2,0.0,13.19
000513,丽珠集团,2.2,5.75,4,-2.82,4,0.0,13.13
000538,云南白药,3.2,4.16,3,-3.51,6,0.0,12.85
000523,红棉股份,1.0,0.0,3,4.68,4,0.0,12.68
000539,粤电力Ａ,1.7,0.78,8,-4.3,6,0.0,12.18
000425,徐工机械,3.6,2.92,4,-2.36,4,0.0,12.16
600007,中国国贸,2.1,8.37,4,-6.43,4,0.0,12.04
000078,海王生物,1.0,0.0,3,3.18,4,0.0,11.18
000530,冰山冷热,2.1,1.57,2,1.5,4,0.0,11.17
600064,南京高科,2.2,5.93,4,-4.96,4,0.0,11.17
600008,首创环保,1.9,9.14,6,-10.0,4,0.0,11.04
600016,民生银行,3.4,6.72,4,-7.1,4,0.0,11.02
000516,国际医学,1.0,0.0,6,-10.0,10,4.0,11.0
600058,五矿发展,1.0,0.0,4,1.65,4,0.0,10.65
000536,华映科技,1.0,0.0,3,-0.37,6,0.0,9.63
600017,日照港,1.9,6.32,6,-8.64,4,0.0,9.58
000065,北方国际,1.0,2.02,8,-10.0,8,0.0,9.02
000488,ST晨鸣,1.0,0.0,8,-10.0,10,0.0,9.0
000404,长虹华意,2.0,6.87,6,-10.0,4,0.0,8.87
000537,绿发电力,1.7,5.07,6,-10.0,6,0.0,8.77
000039,中集集团,2.8,1.16,10,-10.0,4,0.0,7.96
