code,name,关注度,单日涨跌幅,股息率,今年相对大盘强弱,财报,5日涨跌幅,行业相对强弱,新闻,资金流向,total_score
300394,天孚通信,7.0,6,0.36,10,18.49,10,6.0,8.5,8,74.35
600183,生益科技,7.0,4,1.71,10,18.75,10,10.0,4.0,8,73.46
300620,光库科技,5.8,1,0.14,10,20.0,10,8.8,7.0,9,71.74
300308,中际旭创,7.0,2,0.19,10,20.0,10,10.0,2.0,9,70.19
603083,剑桥科技,6.9,2,0.29,10,20.0,6,10.0,7.0,8,70.19
688048,长光华芯,3.9,2,0.0,10,18.98,10,10.0,7.0,8,69.88
002008,大族激光,6.6,2,0.27,10,20.0,10,10.0,4.0,7,69.87
301511,德福科技,4.3,8,0.21,10,20.0,6,9.0,4.0,8,69.51
688205,德科立,2.7,6,0.0,10,19.39,10,6.0,7.0,8,69.09
002916,深南电路,6.5,6,1.45,10,18.99,6,4.8,7.0,8,68.74
688200,华峰测控,1.8,4,0.6,10,18.56,10,7.6,7.0,9,68.56
001309,德明利,6.4,1,0.11,10,20.0,10,10.0,4.0,7,68.51
300476,胜宏科技,7.0,8,1.12,8,18.49,6,4.8,7.0,8,68.41
688536,思瑞浦,1.7,4,0.11,10,20.0,10,10.0,4.0,8,67.81
688390,固德威,1.9,6,0.0,10,19.18,8,9.6,4.0,9,67.68
601138,工业富联,7.0,5,1.9,6,20.0,8,6.0,5.5,8,67.4
300661,圣邦股份,4.1,2,0.38,10,20.0,10,8.8,4.0,8,67.28
600584,长电科技,6.3,6,0.37,10,15.34,10,5.2,7.0,7,67.21
300502,新易盛,7.0,4,0.32,10,18.49,8,7.2,4.0,8,67.01
688003,天准科技,1.9,4,1.1,10,20.0,10,8.8,4.0,7,66.8
603986,兆易创新,6.9,4,0.42,10,20.0,6,6.4,4.0,9,66.72
688396,华润微,3.3,4,0.16,8,18.8,10,6.4,6.0,10,66.66
600522,中天科技,6.4,2,1.18,10,20.0,10,10.0,4.0,3,66.58
301371,敷尔佳,1.0,2,4.56,10,20.0,8,9.0,4.0,8,66.56
002475,立讯精密,6.8,6,0.37,10,10.56,8,8.8,7.0,9,66.53
688498,源杰科技,5.0,6,0.09,10,20.0,6,6.4,4.0,9,66.49
301055,张小泉,1.6,6,1.55,10,18.16,10,9.0,4.0,6,66.31
688041,海光信息,6.8,6,0.09,10,18.98,4,6.4,4.0,10,66.27
688127,蓝特光学,1.9,1,0.62,10,20.0,10,9.6,4.0,9,66.12
300442,润泽科技,6.7,3,0.49,10,18.9,6,5.0,7.0,9,66.09
601208,东材科技,5.2,6,0.22,10,18.66,6,10.0,2.0,8,66.08
301526,国际复材,4.0,6,0.21,10,18.06,4,8.8,7.0,8,66.07
688416,恒烁股份,1.0,6,0.0,10,20.0,8,10.0,4.0,7,66.0
688766,普冉股份,1.0,6,0.06,10,20.0,10,10.0,5.5,3,65.56
688001,华兴源创,1.7,6,0.18,10,18.63,8,10.0,7.0,4,65.51
000938,紫光股份,7.0,3,0.4,10,20.0,4,7.4,4.0,9,64.8
601869,长飞光纤,7.0,4,0.15,10,19.71,6,4.8,4.0,9,64.66
300323,华灿光电,1.0,5,0.0,10,20.0,10,9.6,2.0,7,64.6
000636,风华高科,3.8,6,0.71,10,16.09,10,10.0,4.0,4,64.6
688107,安路科技,1.0,4,0.0,10,20.0,8,7.6,5.0,9,64.6
300475,香农芯创,6.6,1,0.08,10,20.0,8,8.8,5.0,5,64.48
688012,中微公司,4.7,6,0.18,10,20.0,6,3.6,4.0,10,64.48
002463,沪电股份,7.0,6,0.93,10,20.0,4,3.0,7.5,6,64.43
300408,三环集团,4.0,4,1.02,10,20.0,6,10.0,2.0,7,64.02
002384,东山精密,7.0,4,0.0,10,20.0,6,10.0,2.0,5,64.0
300236,上海新阳,3.0,6,1.0,10,20.0,4,3.6,7.0,9,63.6
301071,力量钻石,1.6,6,1.39,10,20.0,6,7.6,2.0,9,63.59
301606,绿联科技,1.6,3,1.46,10,20.0,8,3.0,8.5,8,63.56
688279,峰岹科技,2.1,4,0.68,6,20.0,10,7.6,5.0,8,63.38
300398,飞凯材料,3.4,6,0.38,10,15.4,8,10.0,4.0,6,63.18
300693,盛弘股份,1.7,8,1.56,10,10.12,10,8.8,7.0,6,63.18
600869,远东股份,5.0,6,0.09,10,17.29,10,9.6,1.0,4,62.98
002222,福晶科技,6.2,4,0.18,10,13.78,10,9.6,2.0,7,62.76
688700,东威科技,2.1,6,0.6,10,19.0,6,5.0,5.0,9,62.7
603256,宏和科技,6.2,6,0.1,10,19.38,4,10.0,1.0,6,62.68
301031,中熔电气,1.0,3,0.53,10,20.0,8,4.8,7.0,8,62.33
688503,聚和材料,1.7,2,0.76,10,20.0,6,9.6,7.0,5,62.06
002545,东方铁塔,1.6,6,2.39,10,20.0,4,6.8,1.0,10,61.79
601126,四方股份,4.5,8,1.94,10,5.64,10,9.6,4.0,8,61.68
688652,京仪装备,1.7,4,0.17,10,14.88,10,8.8,4.0,8,61.55
603093,南华期货,1.0,0,0.53,10,20.0,10,9.0,2.0,9,61.53
603162,海通发展,1.0,2,0.52,10,20.0,10,9.0,1.0,8,61.52
688630,芯碁微装,2.1,6,0.52,10,20.0,4,6.8,7.0,5,61.42
688515,裕太微,1.0,4,0.0,10,16.16,10,10.0,4.0,6,61.16
300738,奥飞数据,4.6,6,0.1,10,18.64,4,6.8,2.0,9,61.14
301297,富乐德,1.0,4,0.24,10,15.09,6,8.8,7.0,9,61.13
600552,凯盛科技,4.7,2,0.55,10,14.02,10,9.6,2.0,8,60.87
300548,长芯博创,4.4,3,0.22,10,16.94,4,6.0,7.0,9,60.56
301217,铜冠铜箔,5.0,1,0.0,10,19.5,4,9.0,7.0,5,60.5
000672,上峰水泥,1.0,4,5.15,10,10.85,10,8.4,7.0,4,60.4
300953,震裕科技,3.3,6,0.27,10,19.63,2,9.0,1.0,9,60.2
300613,富瀚微,1.0,4,0.26,10,20.0,6,8.8,2.0,8,60.06
002458,益生股份,2.3,4,0.0,10,19.74,6,8.0,7.0,3,60.04
688559,海目星,2.1,2,0.0,10,20.0,6,4.8,5.0,10,59.9
603118,共进股份,4.1,5,0.34,10,12.36,10,10.0,1.0,7,59.8
300866,安克创新,3.0,4,2.57,8,9.71,8,6.0,8.5,10,59.78
688008,澜起科技,6.5,2,0.29,10,12.47,10,10.0,5.5,3,59.76
688146,中船特气,1.9,5,0.28,10,14.53,10,10.0,4.0,4,59.71
002079,苏州固锝,1.3,4,0.27,10,20.0,8,9.0,2.0,5,59.57
688549,中巨芯,1.0,1,0.0,10,19.55,10,10.0,4.0,4,59.55
688409,富创精密,1.7,1,0.0,10,20.0,10,8.8,2.0,6,59.5
300184,力源信息,5.8,4,0.0,10,20.0,4,7.6,4.0,4,59.4
603826,坤彩科技,1.0,5,0.83,10,20.0,8,6.4,1.0,7,59.23
003004,*ST声迅,1.8,2,0.0,10,19.5,8,9.6,2.0,6,58.9
600206,有研新材,6.9,1,0.59,10,10.56,10,8.8,7.0,4,58.85
688400,凌云光,1.0,4,0.26,10,15.43,4,9.6,6.5,8,58.79
002709,天赐材料,6.8,6,0.72,8,20.0,2,6.2,7.0,2,58.72
688209,英集芯,1.0,4,0.47,10,19.01,8,5.2,2.0,9,58.68
001339,智微智能,1.8,4,0.06,10,20.0,6,9.6,2.0,5,58.46
000539,粤电力Ａ,3.9,6,0.55,10,15.99,4,9.0,1.0,8,58.44
605020,永和股份,1.9,0,2.83,8,16.68,10,9.0,1.0,9,58.41
002015,协鑫能科,4.4,2,0.85,10,9.16,10,9.0,10.0,3,58.41
600026,中远海能,1.0,4,3.33,10,17.85,6,3.2,7.0,6,58.38
600176,中国巨石,7.0,4,1.01,10,17.49,4,4.8,4.0,6,58.3
603317,天味食品,1.0,4,5.88,10,20.0,4,8.4,2.0,3,58.28
688380,中微半导,1.0,6,1.19,10,20.0,4,3.0,4.0,9,58.19
301392,汇成真空,1.9,2,0.1,10,18.45,10,9.6,4.0,2,58.05
300747,锐科激光,3.2,6,0.2,10,18.89,6,3.6,2.0,8,57.89
002979,雷赛智能,1.0,2,0.92,10,15.81,10,10.0,1.0,7,57.73
300861,美畅股份,1.0,2,1.7,10,20.0,8,10.0,0.0,5,57.7
688313,仕佳光子,4.5,2,0.33,10,9.67,8,10.0,5.0,8,57.5
000029,深深房A,1.0,1,0.25,10,18.62,10,9.6,4.0,3,57.47
603156,养元饮品,1.0,2,4.15,10,15.67,10,9.6,1.0,4,57.42
002466,天齐锂业,6.4,5,0.0,10,20.0,2,5.0,7.0,2,57.4
002245,蔚蓝锂芯,6.0,0,0.75,10,15.56,10,9.0,1.0,5,57.31
300726,宏达电子,1.0,2,3.4,8,16.83,10,9.0,0.0,7,57.23
600903,贵州燃气,1.0,5,0.38,8,15.41,10,8.4,2.0,7,57.19
001287,中电港,2.6,4,0.79,10,20.0,6,4.8,4.0,5,57.19
