code,name
600519,贵州茅台
000001,平安银行
600660,福耀玻璃
300979,华利集团
000159,国际实业
601006,大秦铁路
300364,中文在线
300298,三诺生物
000001,平安银行
000002,万  科Ａ
000004,*ST国华
000006,深振业Ａ
000007,全新好
000008,神州高铁
000009,中国宝安
000010,美丽生态
000011,深物业A
000012,南  玻Ａ
000014,沙河股份
000016,深康佳Ａ
000017,深中华A
000019,深粮控股
000020,深华发Ａ
000021,深科技
000025,特  力Ａ
000026,飞亚达
000027,深圳能源
000028,国药一致
000029,深深房Ａ
000030,富奥股份
000031,大悦城
000032,深桑达Ａ
000034,神州数码
000035,中国天楹
000036,华联控股
000037,深南电A
000039,中集集团
000042,中洲控股
000045,深纺织Ａ
000048,京基智农
000049,德赛电池
000050,深天马Ａ
000055,方大集团
000056,皇庭国际
000058,深 赛 格
000059,华锦股份
000060,中金岭南
000061,农 产 品
000062,深圳华强
000063,中兴通讯
000065,北方国际
000066,中国长城
000068,华控赛格
000069,华侨城Ａ
000070,特发信息
000078,海王生物
000088,盐 田 港
000089,深圳机场
000090,天健集团
000096,广聚能源
000099,中信海直
000100,TCL科技
000151,中成股份
000153,丰原药业
000155,川能动力
000156,华数传媒
000157,中联重科
000158,常山北明
000159,国际实业
000166,申万宏源
000301,东方盛虹
000333,美的集团
000338,潍柴动力
000400,许继电气
000401,金隅冀东
000402,金 融 街
000403,派林生物
000404,长虹华意
000407,胜利股份
000408,藏格矿业
000409,云鼎科技
000410,沈阳机床
000411,英特集团
000415,渤海租赁
000417,合百集团
000419,通程控股
000420,吉林化纤
000421,南京公用
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000426,兴业银锡
000428,华天酒店
000429,粤高速Ａ
000430,ST张家界
000488,ST晨鸣
000498,山东路桥
000501,武商集团
000503,国新健康
000504,*ST生物
000505,京粮控股
000506,招金黄金
000507,珠海港
000509,华塑控股
000510,新金路
000513,丽珠集团
000514,渝 开 发
000516,国际医学
000517,荣安地产
000518,*ST四环
000519,中兵红箭
000520,凤凰航运
000521,长虹美菱
000523,红棉股份
000524,岭南控股
000525,红太阳
000526,学大教育
000528,柳    工
000529,广弘控股
000530,冰山冷热
000531,穗恒运Ａ
000532,华金资本
000533,顺钠股份
000534,万泽股份
000536,华映科技
000537,绿发电力
000538,云南白药
000539,粤电力Ａ
000541,佛山照明
000543,皖能电力
600000,浦发银行
600004,白云机场
600006,东风股份
600007,中国国贸
600008,首创环保
600009,上海机场
600010,包钢股份
600011,华能国际
600012,皖通高速
600015,华夏银行
600016,民生银行
600017,日照港
600018,上港集团
600019,宝钢股份
600020,中原高速
600021,上海电力
600022,山东钢铁
600023,浙能电力
600025,华能水电
600026,中远海能
600027,华电国际
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600032,浙江新能
600033,福建高速
600035,楚天高速
600036,招商银行
600037,歌华有线
600038,中直股份
600039,四川路桥
600048,保利发展
600050,中国联通
600051,宁波联合
600052,东望时代
600053,九鼎投资
600054,黄山旅游
600055,万东医疗
600056,中国医药
600057,厦门象屿
600058,五矿发展
600059,古越龙山
600060,海信视像
600061,国投资本
600062,华润双鹤
600063,皖维高新
600064,南京高科
600066,宇通客车
