日期,收盘,成交额,开盘,最高,最低
20160104,3.89,78157.89,4.55,4.55,3.89
20160105,3.68,118902.9,3.82,3.82,3.42
20160106,4.25,164083.22,3.69,4.25,3.67
20160107,3.64,43773.37,4.17,4.17,3.62
20160108,4.21,236309.45,3.89,4.21,3.69
20160111,3.63,211702.86,4.12,4.21,3.59
20160112,3.48,101226.49,3.51,3.66,3.32
20160113,3.32,100517.99,3.47,3.72,3.32
20160114,3.47,101587.03,3.01,3.69,3.01
20160115,3.12,91477.93,3.37,3.47,3.04
20160118,3.17,79632.23,3.01,3.23,2.97
20160119,3.33,70108.26,3.16,3.38,3.1
20160120,3.27,56855.66,3.31,3.4,3.19
20160121,3.38,200457.86,3.22,3.79,3.21
20160122,3.92,387075.43,3.73,3.92,3.62
20160125,3.95,275309.07,3.89,4.07,3.74
20160126,3.36,144279.78,3.75,3.82,3.36
20160127,3.48,149474.32,3.36,3.66,3.11
20160128,3.13,108240.54,3.29,3.59,3.07
20160129,3.23,116393.16,3.08,3.31,3.02
20160201,2.94,92330.23,3.25,3.29,2.84
20160202,3.12,93795.01,2.97,3.15,2.92
20160203,3.07,61616.69,3.06,3.1,2.97
20160204,3.15,80399.83,3.07,3.21,3.07
20160205,3.07,65396.14,3.16,3.2,3.05
20160215,3.3,92893.68,2.97,3.41,2.92
20160216,3.58,166332.9,3.5,3.76,3.5
20160217,3.52,124559.69,3.51,3.58,3.37
20160218,3.54,135983.6,3.55,3.73,3.47
20160219,3.61,103214.0,3.53,3.68,3.48
20160222,3.84,238598.19,3.68,4.04,3.59
20160223,3.8,118143.6,3.77,4.0,3.69
20160224,3.83,107988.99,3.74,3.87,3.67
20160225,3.29,152059.47,3.85,3.92,3.25
20160226,3.54,143942.29,3.37,3.63,3.25
20160229,3.44,121026.46,3.47,3.62,3.0
20160301,3.59,155420.41,3.44,3.73,3.33
20160302,3.93,241362.13,3.55,3.95,3.54
20160303,3.9,179648.33,3.95,4.23,3.87
20160304,4.02,233748.04,3.84,4.11,3.69
20160307,4.22,228488.02,4.11,4.24,3.96
20160308,4.03,152003.17,4.36,4.39,3.91
20160309,3.73,97436.3,3.82,3.87,3.62
20160310,3.73,58792.95,3.76,3.81,3.6
20160311,3.78,57379.81,3.67,3.82,3.62
20160314,3.9,79254.07,3.84,3.98,3.82
20160315,3.75,55693.46,3.84,3.87,3.72
20160316,3.68,44533.5,3.79,3.84,3.67
20160317,3.85,84008.52,3.72,3.9,3.72
20160318,3.92,147436.61,3.87,4.04,3.87
20160321,4.0,180002.8,4.02,4.02,3.91
20160322,3.96,114158.78,3.96,3.97,3.87
20160323,3.97,87766.18,3.92,4.02,3.92
20160324,3.7,129782.72,3.93,3.93,3.68
20160325,3.75,59571.03,3.69,3.77,3.69
20160328,3.67,91392.9,3.75,3.8,3.62
20160329,3.58,60196.85,3.67,3.68,3.54
20160330,3.74,87044.31,3.62,3.75,3.58
20160331,3.77,79364.73,3.71,3.82,3.71
20160401,3.78,106215.49,3.74,3.86,3.72
