日期,收盘,开盘,最高,最低,成交额
20260511,91.84,68.75,110.28,68.75,2352582931.0
20260512,88.92,80.0,99.0,76.06,2205156580.0
20260513,80.88,83.0,85.85,78.01,1436966359.0
20260514,72.94,78.02,82.5,72.88,1108773971.0
20260515,66.5,68.8,69.98,64.6,642635194.0
20260518,73.31,72.83,75.6,69.15,824696350.0
20260519,71.84,73.0,77.3,70.4,708657406.0
20260520,73.8,69.16,75.8,67.0,813997767.0
20260521,66.49,72.5,74.49,66.42,688165723.0
20260522,63.23,65.3,66.66,62.7,505792187.0
20260525,60.37,62.5,62.5,59.2,427585132.0
20260526,59.05,60.9,60.9,56.55,319852281.0
20260527,58.79,58.17,61.14,57.5,279933607.0
