日期,开盘,收盘,最高,最低,成交额
20201029,31.19,36.69,47.99,31.19,40954922.0
20201030,38.21,45.79,49.75,38.21,33600551.0
20201102,48.39,54.96,54.97,47.0,27193402.0
20201103,54.69,55.58,57.74,51.55,25121445.0
20201104,55.64,52.59,55.99,50.09,20846450.0
20201105,54.14,59.19,63.47,52.79,28843507.0
20201106,57.99,66.79,66.79,57.67,23162768.0
20201109,68.69,66.23,69.87,61.69,22494134.0
20201110,66.19,66.12,68.89,63.3,15952778.0
20201111,63.99,54.19,64.1,53.89,23125126.0
20201112,54.19,57.08,59.85,53.23,18607788.0
20201113,56.27,59.37,62.07,53.69,14904776.0
20201116,60.37,71.61,71.61,60.37,17134827.0
20201117,74.19,75.19,78.39,70.69,15369529.0
20201118,75.69,73.49,81.94,71.08,15567600.0
20201119,73.05,71.85,76.08,67.89,11040312.0
20201120,72.81,84.84,86.58,72.81,17377459.0
20201123,82.69,81.59,84.19,77.19,13592701.0
20201124,83.19,82.76,86.44,79.33,10848149.0
20201125,82.09,78.79,86.03,78.19,10529157.0
20201126,77.18,74.71,79.19,70.2,10992748.0
20201127,73.29,69.18,75.49,68.87,8653123.0
20201130,70.79,69.54,72.85,64.19,12312721.0
20201201,68.13,70.99,71.54,67.19,8470466.0
20201202,70.37,67.19,71.93,65.77,9188218.0
20201203,65.89,62.29,65.89,61.94,10251224.0
20201204,62.69,65.25,66.82,62.55,9718032.0
20201207,66.19,69.49,70.39,62.08,10317870.0
20201208,68.59,68.69,73.04,67.53,7561658.0
20201209,69.69,66.94,70.77,66.82,5033283.0
20201210,67.68,63.51,67.71,62.79,5843817.0
20201211,63.69,66.04,67.69,62.29,6672376.0
20201214,66.64,68.14,68.29,63.39,5842555.0
20201215,67.4,66.71,71.56,66.1,5885358.0
20201216,65.2,68.74,68.99,62.29,7690551.0
20201217,67.19,71.88,71.88,66.59,7428910.0
20201218,71.89,70.17,73.69,70.05,7635740.0
20201221,69.19,71.09,72.85,67.59,6377725.0
20201222,71.64,73.69,79.39,70.91,9434439.0
20201223,74.2,78.29,78.38,73.19,7933631.0
20201224,76.79,71.29,78.17,71.19,7325216.0
20201225,70.2,73.29,73.69,65.8,8177760.0
20201228,73.01,78.29,81.39,72.51,8128091.0
20201229,79.57,75.65,81.99,74.74,6234215.0
20201230,76.32,79.1,81.68,74.4,6887774.0
20201231,80.19,84.01,86.19,78.28,6418084.0
20210104,82.93,86.39,90.69,81.39,6682825.0
20210105,85.89,85.59,87.62,81.19,6823091.0
20210106,85.07,79.18,85.96,78.99,5754108.0
20210107,78.2,78.48,82.07,75.49,5140046.0
20210108,78.18,75.89,81.52,75.52,4525989.0
20210111,75.19,76.44,77.63,72.81,4155664.0
20210112,76.45,81.59,81.98,74.49,5013905.0
20210113,81.38,81.92,85.07,80.31,5083402.0
