date,code,name,close_price,total_score
20260512,000001,平安银行,11.25,26.45
20260513,000001,平安银行,11.14,26.39
20260514,000001,平安银行,11.05,24.43
20260515,000001,平安银行,11.04,25.13
20260518,000001,平安银行,10.86,25.1
20260519,000001,平安银行,10.86,28.0
20260520,000001,平安银行,10.77,26.44
20260521,000001,平安银行,10.7,26.87
20260522,000001,平安银行,10.68,26.97
20260525,000001,平安银行,10.68,25.98
20260512,000002,万科A,4.1,16.62
20260513,000002,万科A,3.99,12.42
20260514,000002,万科A,3.87,13.82
20260515,000002,万科A,3.84,11.82
20260518,000002,万科A,3.68,3.22
20260519,000002,万科A,3.71,5.22
20260520,000002,万科A,3.6,2.22
20260521,000002,万科A,3.47,2.22
20260522,000002,万科A,3.46,1.82
20260525,000002,万科A,3.49,5.82
20260512,000012,南  玻A,3.9,27.62
20260513,000012,南  玻A,3.83,29.63
20260514,000012,南  玻A,3.85,32.13
20260515,000012,南  玻A,3.79,27.75
20260518,000012,南  玻A,3.71,21.37
20260519,000012,南  玻A,3.74,26.46
20260520,000012,南  玻A,3.64,27.89
20260521,000012,南  玻A,4.0,38.49
20260522,000012,南  玻A,4.4,40.59
20260525,000012,南  玻A,4.6,38.56
20260512,000019,深粮控股,7.27,12.29
20260513,000019,深粮控股,7.3,14.88
20260514,000019,深粮控股,7.16,12.54
20260515,000019,深粮控股,7.09,13.98
20260518,000019,深粮控股,7.05,14.99
20260519,000019,深粮控股,7.0,18.02
20260520,000019,深粮控股,6.97,17.03
20260521,000019,深粮控股,6.75,17.15
20260522,000019,深粮控股,6.73,16.75
20260525,000019,深粮控股,6.61,12.82
20260512,000026,飞亚达,20.51,28.57
20260513,000026,飞亚达,20.19,27.59
20260514,000026,飞亚达,20.28,23.58
20260515,000026,飞亚达,20.85,23.15
20260518,000026,飞亚达,20.2,25.79
20260519,000026,飞亚达,22.22,26.08
20260520,000026,飞亚达,21.8,31.1
20260521,000026,飞亚达,23.23,30.03
20260522,000026,飞亚达,25.55,31.03
20260525,000026,飞亚达,27.04,27.89
20260512,000027,深圳能源,7.32,38.75
20260513,000027,深圳能源,7.54,39.76
20260514,000027,深圳能源,7.33,32.84
20260515,000027,深圳能源,7.34,35.54
20260518,000027,深圳能源,7.41,34.51
20260519,000027,深圳能源,7.76,36.68
20260520,000027,深圳能源,7.39,27.42
20260521,000027,深圳能源,7.25,23.68
20260522,000027,深圳能源,7.31,24.38
20260525,000027,深圳能源,7.56,33.96
20260512,000028,国药一致,24.64,36.94
20260513,000028,国药一致,24.54,34.95
20260514,000028,国药一致,24.19,35.0
20260515,000028,国药一致,24.28,35.79
20260518,000028,国药一致,23.88,32.84
20260519,000028,国药一致,24.15,38.0
20260520,000028,国药一致,24.0,35.03
20260521,000028,国药一致,23.9,34.64
20260522,000028,国药一致,23.8,34.24
20260525,000028,国药一致,23.7,35.67
20260512,000029,深深房A,26.49,59.48
20260513,000029,深深房A,26.7,56.48
20260514,000029,深深房A,28.01,57.47
20260515,000029,深深房A,29.43,56.46
20260518,000029,深深房A,29.82,56.85
20260519,000029,深深房A,29.42,61.86
20260520,000029,深深房A,26.48,45.88
20260521,000029,深深房A,24.67,48.3
20260522,000029,深深房A,25.5,47.9
20260525,000029,深深房A,24.77,46.3
20260512,000030,富奥股份,4.95,26.51
20260513,000030,富奥股份,4.95,31.51
20260514,000030,富奥股份,4.84,29.21
20260515,000030,富奥股份,4.85,27.6
20260518,000030,富奥股份,4.75,25.28
20260519,000030,富奥股份,4.81,28.83
20260520,000030,富奥股份,4.74,25.89
20260521,000030,富奥股份,4.69,25.34
20260522,000030,富奥股份,4.71,25.34
20260525,000030,富奥股份,4.76,33.68
20260512,000035,中国天楹,6.47,42.0
20260513,000035,中国天楹,6.7,52.76
20260514,000035,中国天楹,6.43,46.61
20260515,000035,中国天楹,6.26,37.04
20260518,000035,中国天楹,6.19,33.05
20260519,000035,中国天楹,6.2,37.65
20260520,000035,中国天楹,6.12,31.67
20260521,000035,中国天楹,6.03,31.08
20260522,000035,中国天楹,5.99,31.08
